Chemical ID,MolecularWeight,MolecularFormula,IUPACName,CanonicalSMILES,InChI,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CovalentUnitCount,Boiling Point,Melting Point,Flash Point,Solubility,Density,Vapor Density,Vapor Pressure,LogP,Stability,Auto-Ignition,Viscosity,Heat of Combustion,Heat of Vaporization,Surface Tension,Ionization Potential,Dissociation Constants
2058-94-8,564.09,C11HF21O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",6.9,563.9641207,563.9641207,37.3,789,1,23,9,34,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-1.65 ± 0.02 [log Psd at 298.15 K (Pa)],Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
307-55-1,614.10,C12HF23O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-tricosafluorododecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C12HF23O2/c13-2(14,1(36)37)3(15,16)4(17,18)5(19,20)6(21,22)7(23,24)8(25,26)9(27,28)10(29,30)11(31,32)12(33,34)35/h(H,36,37)",7.6,613.9609270,613.9609270,37.3,879,1,25,10,37,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
72629-94-8,664.10,C13HF25O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-pentacosafluorotridecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C13HF25O2/c14-2(15,1(39)40)3(16,17)4(18,19)5(20,21)6(22,23)7(24,25)8(26,27)9(28,29)10(30,31)11(32,33)12(34,35)13(36,37)38/h(H,39,40)",8.3,663.9577333,663.9577333,37.3,970,1,27,11,40,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
376-06-7,714.11,C14HF27O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-heptacosafluorotetradecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C14HF27O2/c15-2(16,1(42)43)3(17,18)4(19,20)5(21,22)6(23,24)7(25,26)8(27,28)9(29,30)10(31,32)11(33,34)12(35,36)13(37,38)14(39,40)41/h(H,42,43)",9,713.9545396,713.9545396,37.3,1060,1,29,12,43,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
27619-97-2,428.17,C8H5F13O3S,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid",C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8H5F13O3S/c9-3(10,1-2-25(22,23)24)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h1-2H2,(H,22,23,24)",3.9,427.9751813,427.9751813,62.8,585,1,16,7,25,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
39108-34-4,528.18,C10H5F17O3S,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecane-1-sulfonic acid",C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C10H5F17O3S/c11-3(12,1-2-31(28,29)30)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)9(23,24)10(25,26)27/h1-2H2,(H,28,29,30)",5.3,527.9687939,527.9687939,62.8,760,1,20,9,31,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
13252-13-6,330.05,C6HF11O3,"2,3,3,3-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propanoic acid",C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O,"InChI=1S/C6HF11O3/c7-2(1(18)19,4(10,11)12)20-6(16,17)3(8,9)5(13,14)15/h(H,18,19)",3.6,329.97500367,329.97500367,46.5,383,1,14,4,20,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-1.49 ± 0.01 [log Psd at 298.15 K (Pa)],Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
67-56-1,32.042,CH4O,methanol,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",-0.5,32.026214747,32.026214747,20.2,2,1,1,0,2,1,"148.3 °F at 760 mmHg (NTP, 1992)","-144 °F (NTP, 1992)","52 °F (NTP, 1992)","greater than or equal to 100 mg/mL at 70 °F (NTP, 1992)","0.792 at 68 °F (USCG, 1999) - Less dense than water; will float","1.11 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","100 mmHg at 70.2 °F ; 237.87 mmHg at 100 °F (NTP, 1992)",log Kow = -0.77,Not Available,Not Available,0.544 mPa.s at 25 °C,726.1 kJ/mole,37.34 kJ/mole (at 25 °C),22.07 mN/m at 25 °C,10.84 eV,pKa = 15.3
64-17-5,46.07,C2H6O,ethanol,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-0.1,46.041864811,46.041864811,20.2,2,1,1,0,3,1,"173.3 °F at 760 mmHg (NTP, 1992)","-173.4 °F (NTP, 1992)","55 °F (NTP, 1992)","greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)","0.79 at 68 °F (USCG, 1999) - Less dense than water; will float","1.59 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","40 mmHg at 66 °F ; 50 mmHg at 77 °F (NTP, 1992)",{'Number': [-0.31]},Not Available,Not Available,1.074 mPa.s at 25 °C,1336.8 kJ/mol at 25 °C,42.32 kJ/mol at 25 °C,21.97 mN/m at 25 °C,10.47 eV,15.9 (at 25 °C)
67-63-0,60.10,C3H8O,propan-2-ol,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",0.3,60.057514874,60.057514874,20.2,10,1,1,0,4,1,"180.5 °F at 760 mmHg (NTP, 1992)","-127.3 °F (NTP, 1992)","53 °F (NTP, 1992)","greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)","0.785 at 68 °F (USCG, 1999) - Less dense than water; will float","2.07 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","33 mmHg at 68 °F ; 40 mmHg at 74.8 °F (NTP, 1992)",{'Number': [0.05]},Not Available,Not Available,2.038 mPa s at 25 °C,"14,346 BTU/Lb",45.39 kJ/mol at 25 °C,22.11 mN/m (dyne/cm) at 10 °C; 20.93 mN/m at 25 °C; 18.96 mN/m at 50 °C; 16.98 mN/m at 75 °C,10.10 eV,17.1
71-43-2,78.11,C6H6,benzene,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,2.1,78.0469501914,78.0469501914,0,15,0,0,0,6,1,"176.2 °F at 760 mmHg (NTP, 1992)","41.9 °F (NTP, 1992)","12 °F (NTP, 1992)","1 to 5 mg/mL at 64 °F (NTP, 1992)","0.879 at 68 °F (USCG, 1999) - Less dense than water; will float","2.77 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","60 mmHg at 59 °F ; 76 mmHg at 68 °F (NTP, 1992)",log Kow = 2.13,Not Available,Not Available,0.604 mPa.s at 25 °C,-3267.6 kJ/mol (liquid),33.83 kJ/mol at 25 °C,28.22 mN/m at 25 °C,9.24 eV,Not Available
108-88-3,92.14,C7H8,toluene,CC1=CC=CC=C1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",2.7,92.062600255,92.062600255,0,42,0,0,0,7,1,"231.1 °F at 760 mmHg (NTP, 1992)","-139 °F (NTP, 1992)","40 °F (NTP, 1992)","less than 1 mg/mL at 64 °F (NTP, 1992)","0.867 at 68 °F (USCG, 1999) - Less dense than water; will float","3.14 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","10 mmHg at 43.5 °F ; 20 mmHg at 65.1 °F; 40 mmHg at 89.2 °F (NTP, 1992)",{'Number': [2.73]},Not Available,Not Available,1.165 mPa-s at -25 °C; 0.778 mPa-s at 0 °C; 0.560 mPa-s at 25 °C; 0.424 mPa-s at 50 °C; 0.333 mPa-s at 75 °C; 0.270 mPa-s at 100 °C,3910.3 KJ/mol,38.01 KJ/mol at 25 °C,29.46 mN/m at 10 °C; 27.73 mN/m at 25 °C; 24.85 mN/m at 50 °C; 21.98 mN/m at 75 °C; 19.10 mN/m at 100 °C,8.82 eV,Not Available
106-42-3,106.16,C8H10,"1,4-xylene",CC1=CC=C(C=C1)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",3.2,106.078250319,106.078250319,0,48,0,0,0,8,1,"280.9 °F at 760 mmHg (NTP, 1992)","55.9 °F (NTP, 1992)","81 °F (NTP, 1992)","Insoluble. (NTP, 1992)","0.861 at 68 °F (USCG, 1999) - Less dense than water; will float","3.66 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","10 mmHg at 81.1 °F (NTP, 1992)",log Kow = 3.15,Not Available,Not Available,0.603 mPa.s at 25 °C,"-17,559 Btu/lb = -9754.7 cal/g = -408.41X10+5 J/kg",42.40 kJ/mol at 35 °C; 35.67 kJ/mol at 138.23 °C,28.01 dynes/cm at 25 °C,8.44 eV,Not Available
95-47-6,106.16,C8H10,"1,2-xylene",CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",3.1,106.078250319,106.078250319,0,56,0,0,0,8,1,"289 to 293 °F at 760 mmHg (NTP, 1992)","-13 to -9 °F (NTP, 1992)","63 °F (NTP, 1992)","Insoluble (NTP, 1992)","0.88 at 68 °F (USCG, 1999) - Less dense than water; will float","3.66 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","10 mmHg at 89.8 °F (NTP, 1992)",log Kow = 3.12,Not Available,Not Available,0.760 mPa.s at 25 °C,"-17,558 Btu/lb = -9754.7 cal/g = -408.41 X 105 J/kg",43.43 kJ/mol at 25 °C; 36.24 kJ/mol at 144.5 °C,29.76 dynes/cm at 25 °C,8.56 eV,Not Available
108-38-3,106.16,C8H10,"1,3-xylene",CC1=CC(=CC=C1)C,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",3.2,106.078250319,106.078250319,0,58,0,0,0,8,1,"282.4 °F at 760 mmHg (NTP, 1992)","-54.2 °F (NTP, 1992)","85 °F (NTP, 1992)","Insoluble (NTP, 1992)","0.864 at 68 °F (USCG, 1999) - Less dense than water; will float","3.66 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","10 mmHg at 82.9 °F (NTP, 1992)",log Kow = 3.20,Not Available,Not Available,0.581 mPa.s at 25 °C,"-17,554 Btu/lb = -9752.4 cal/g = -408.31X10+5 J/kg",42.65 kJ/mol at 25 °C; 35.66 kJ/mol at 139.07 °C,28.47 dynes/cm at 25 °C,8.56 eV,Not Available
100-41-4,106.16,C8H10,ethylbenzene,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",3.1,106.078250319,106.078250319,0,51,0,0,1,8,1,"277.2 °F at 760 mmHg (NTP, 1992)","-139 °F (NTP, 1992)","59 °F (NTP, 1992)","less than 1 mg/mL at 73 °F (NTP, 1992)","0.867 at 68 °F (USCG, 1999) - Less dense than water; will float","3.66 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","10 mmHg at 85.1 °F ; 5 mmHg at 57.0 °F; 760 mmHg at 277.2 °F (NTP, 1992)",log Kow = 3.15,Not Available,Not Available,0.64 cP at 25 °C,"-17,780 BTU/lb = -9877 cal/g = -413.5X10+5 J/kg",35.57 kJ/mol at 136.16 °C; 42.24 kJ/mol at 25 °C,Liquid surface tension: 29.2 dynes/cm = 0.0292 N/m at 20 °C,8.76 eV,Not Available
110-54-3,86.18,C6H14,hexane,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",3.9,86.109550447,86.109550447,0,12,0,0,3,6,1,"156 °F at 760 mmHg (NTP, 1992)","-139 °F (NTP, 1992)","-9.4 °F (NTP, 1992)","less than 1 mg/mL at 61.7 °F (NTP, 1992)","0.659 at 68 °F (USCG, 1999) - Less dense than water; will float","2.97 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","120 mmHg at 68 °F ; 180 mmHg at 77 °F (NTP, 1992)",log Kow = 3.90,Not Available,Not Available,0.377 cP at 15 °C,4163.2 kJ/mol,31.56 kJ/mol at 25 °C,17.89 mN/m at 25 °C,10.18 eV,Not Available
142-82-5,100.20,C7H16,heptane,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",4.4,100.125200510,100.125200510,0,19,0,0,4,7,1,"209.1 °F at 760 mmHg (USCG, 1999)","-131 °F (USCG, 1999)","25 °F (USCG, 1999)","0.0003 % (NIOSH, 2024)","0.6838 at 68 °F (USCG, 1999) - Less dense than water; will float",3.45 (Air = 1),"37.49 mmHg at 70 °F (USCG, 1999)",log Kow = 4.66,Not Available,Not Available,Not Available,4817.0 kJ/mol at 25 °C,36.57 kJ/mol at 25 °C,19.66 mN/m at 25 °C,9.90 eV,Not Available
111-65-9,114.23,C8H18,octane,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",3.9,114.140850574,114.140850574,0,25,0,0,5,8,1,"258.1 °F at 760 mmHg (USCG, 1999)","-70.2 °F (USCG, 1999)","56 °F (USCG, 1999)","7e-05 % at 77 °F (NIOSH, 2024)","0.703 at 68 °F (USCG, 1999) - Less dense than water; will float",3.86 (Air= 1),"10 mmHg (NIOSH, 2024)",log Kow = 5.18,Not Available,Not Available,0.5151 cP at 25 °C,"1,302.7 kg cal/g mol wt at 760 mm Hg and 20 °C",41.49 kJ/mol at 25 °C,21.14 mN/m at 25 °C,9.82 eV,Not Available
111-84-2,128.25,C9H20,nonane,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",4.5,128.156500638,128.156500638,0,33,0,0,6,9,1,"303.4 °F at 760 mmHg (NTP, 1992)","-60 °F (NTP, 1992)","88 °F (NTP, 1992)","less than 1 mg/mL at 70 °F (NTP, 1992)","0.718 at 68 °F (USCG, 1999) - Less dense than water; will float","4.41 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","3.22 mmHg at 68 °F ; 10 mmHg at 100.4 °F (NTP, 1992)",log Kow = 5.65,Not Available,Not Available,0.6696 cP at 25 °C,-6125 kJ/mol,46.4 kJ/mol,22.38 dynes/cm,10.21 eV,Not Available
124-18-5,142.28,C10H22,decane,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",5,142.172150702,142.172150702,0,40,0,0,7,10,1,"345.4 °F at 760 mmHg (NTP, 1992)","-21.5 °F (NTP, 1992)","115 °F (NTP, 1992)","less than 1 mg/mL at 70 °F (NTP, 1992)","0.73 at 60 °F (USCG, 1999) - Less dense than water; will float","4.9 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","1 mmHg at 61.7 °F ; 2.7 mmHg at 68 °F; 10 mmHg at 131.7 °F (NTP, 1992)",log Kow = 5.01,Not Available,Not Available,2.188 mPa s at -25 °C; 1.277 mPa s at 0 °C; 0.838 mPa s at 25 °C; 0.598 mPa s at 50 °C; 0.453 mPa s at 75 °C; 0.359 mPa s at 100 °C,-6778.29 kJ/mol at 25 °C,39.58 kJ/mol at 174.15 °C; 51.42 kJ/mol at 25 °C,24.75 mN/m at 10 °C; 23.37 mN/m at 25 °C; 21.07 mN/m at 50 °C; 18.77 mN/m at 75 °C; 16.47 mN/m at 100 °C,Not Available,Not Available
56-23-5,153.8,CCl4,tetrachloromethane,C(Cl)(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",2.8,153.872461,151.875411,0,19,0,0,0,5,1,"170.1 °F at 760 mmHg (NTP, 1992)","-9 °F (NTP, 1992)",Not Available,"less than 1 mg/mL at 70 °F (NTP, 1992)","1.59 at 68 °F (USCG, 1999) - Denser than water; will sink","5.3 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","91 mmHg at 68 °F ; 113 mmHg at 77 °F (NTP, 1992)",log Kow = 2.83,Not Available,Not Available,2.03X10-3 Pa.s at 250.00 K,37.3 kg cal/g mol wt at 20 °C,3.45X10+7 J/kmol at 250-33 K,3.23X10-2 N/m at 25.33 K,11.47 eV,Not Available
67-66-3,119.37,CHCl3,chloroform,C(Cl)(Cl)Cl,InChI=1S/CHCl3/c2-1(3)4/h1H,2.3,117.914383,117.914383,0,8,0,0,0,4,1,"143 °F at 760 mmHg (EPA, 1998)","-82.3 °F (EPA, 1998)","None (EPA, 1998)","less than 1 mg/mL at 66 °F (NTP, 1992)","1.4832 at 68 °F (EPA, 1998) - Denser than water; will sink","4.12 (EPA, 1998) - Heavier than air; will sink (Relative to Air)","100 mmHg at 50.72 °F (EPA, 1998)",log Kow = 1.97,Not Available,Not Available,5.63 millipoises at 20 °C; 5.10 millipoises at 30 °C,/Non-flammable/,106.7 BTU/lb = 59.3 cal/g = 2.483X10+5 J/kg,27.1 dynes/cm = 0.0271 N/m at 20 °C,11.42 eV,Not Available
75-09-2,84.93,CH2Cl2,dichloromethane,C(Cl)Cl,InChI=1S/CH2Cl2/c2-1-3/h1H2,1.5,83.9533555,83.9533555,0,2,0,0,0,3,1,"103.6 °F at 760 mmHg (NTP, 1992)","-142.1 °F (NTP, 1992)",Not Available,"10 to 50 mg/mL at 70 °F (NTP, 1992)","1.322 at 68 °F (USCG, 1999) - Denser than water; will sink","2.93 (NTP, 1992) - Heavier than air; will sink (Relative to Air)","440 mmHg at 77 °F (NTP, 1992)",log Kow = 1.25,Not Available,Not Available,0.437 mPa.s at 20 °C,Not Available,28.82 kJ/mol at 25 °C; 28.06 kJ/mol at boiling point,28.20 dyne/cm at 25 °C,11.32 eV,Not Available
75-69-4,137.36,CCl3F,trichloro(fluoro)methane,C(F)(Cl)(Cl)Cl,"InChI=1S/CCl3F/c2-1(3,4)5",2.5,135.904961,135.904961,0,28,0,1,0,5,1,"74.7 °F at 760 mmHg (NTP, 1992)","-168 °F (NTP, 1992)",Not Available,"10 to 50 mg/mL at 64 °F (NTP, 1992)","1.49 at 63 °F (NTP, 1992) - Denser than water; will sink","5.04 at 77 °F (NTP, 1992) - Heavier than air; will sink (Relative to Air)","792 mmHg at 77 °F (NTP, 1992)",log Kow = 2.53,Not Available,Not Available,Gas: 0.0105 mPa.s at 24 °C; liquid: 0.43 mPa.s at 20 °C,Not Available,25.1 kJ/mol at 23.7 °C,18 dyn/cm at 25 °C,11.77 eV,Not Available
